	accession_id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
6	OL983743	AY.100	20210928	USA		Homo sapiens	2697049		Delta
7	OL983595	AY.122	20210914	USA		Homo sapiens	2697049		Delta
8	OL983605	AY.103	20210908	USA		Homo sapiens	2697049		Delta
9	OL983604	AY.39.1	20210909	USA		Homo sapiens	2697049		Delta
10	OL983601	AY.25	20210904	USA		Homo sapiens	2697049		Delta
11	OL983610	AY.25	20210908	USA		Homo sapiens	2697049		Delta
12	OL983616	AY.44	20210908	USA		Homo sapiens	2697049		Delta
13	OL983619	AY.103	20210914	USA		Homo sapiens	2697049		Delta
14	OL983598	AY.103	20210907	USA		Homo sapiens	2697049		Delta
15	OL983622	AY.35	20210912	USA		Homo sapiens	2697049		Delta
16	OL983730	AY.75	20211021	USA		Homo sapiens	2697049		Delta
17	OL982094	AY.3	20211129	USA		Homo sapiens	2697049		Delta
18	OL982104	AY.119	20211130	USA		Homo sapiens	2697049		Delta
19	OL982093	AY.25	20211129	USA		Homo sapiens	2697049		Delta
20	OL982110	AY.100	20211130	USA		Homo sapiens	2697049		Delta
21	OL982139	AY.103	20211130	USA		Homo sapiens	2697049		Delta
22	OL983775	AY.103	20211005	USA		Homo sapiens	2697049		Delta
23	OL983770	AY.25.1	20211005	USA		Homo sapiens	2697049		Delta
24	OL983937	AY.44	20211019	USA		Homo sapiens	2697049		Delta
25	OL983783	AY.39	20211103	USA		Homo sapiens	2697049		Delta
26	OL983790	AY.39	20210928	USA		Homo sapiens	2697049		Delta
27	OL983793	AY.103	20211006	USA		Homo sapiens	2697049		Delta
28	OL983809	AY.44	20211007	USA		Homo sapiens	2697049		Delta
29	OL983813	AY.44	20210929	USA		Homo sapiens	2697049		Delta
30	OL983805	AY.25	20211006	USA		Homo sapiens	2697049		Delta
31	OL983960	AY.126	20211015	USA		Homo sapiens	2697049		Delta
32	OL982635	AY.103	20211209	USA	The University of New Mexico Health Sciences Center	Homo sapiens	2697049		Delta
33	OL983807	AY.47	20211006	USA		Homo sapiens	2697049		Delta
34	OL982680	AY.100	20211212	USA	The University of New Mexico Health Sciences Center	Homo sapiens	2697049		Delta
35	OL987714	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
36	OL983933	AY.103	20210101	USA		Homo sapiens	2697049		Delta
37	OL983919	AY.103	20210101	USA		Homo sapiens	2697049		Delta
38	OL983930	AY.103	20211013	USA		Homo sapiens	2697049		Delta
39	OL983978	AY.44	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
40	OL983976	AY.25	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
41	OL983981	AY.100	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
42	OL983378	AY.103	20210726	USA		Homo sapiens	2697049		Delta
43	OL983991	AY.3	20211214	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
44	OL984003	AY.44	20210927	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
45	OL984010	AY.27	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
46	OL984016	AY.44	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
47	OL984018	AY.25	20210929	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
48	OL984008	AY.103	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
49	OL983416	AY.44	20210811	USA		Homo sapiens	2697049		Delta
51	OL987807	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
52	OL984022	AY.26	20211213	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
53	OL984020	AY.44	20210928	USA	Montana Public Health Lab	Homo sapiens	2697049		Delta
54	OL987645	AY.39.1	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
55	OL987639	AY.118	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
56	OL987642	AY.103	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
57	OL983521	AY.3	20210902	USA		Homo sapiens	2697049		Delta
58	OL987638	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
59	OL987641	AY.3	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
60	OL987647	AY.25.1	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
61	OL987651	AY.100	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
62	OL987653	AY.44	20211213	USA	CDC-OAMD	Homo sapiens	2697049		Delta
63	OL988358	AY.25.1	20210730	USA		Homo sapiens	2697049		Delta
64	OL988032	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
65	OL988031	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
66	OL988006	AY.3	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
67	OL988034	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
68	OL988035	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
69	OL988043	AY.34	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
70	OL988033	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
71	OL988054	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
72	OL988428	AY.3	20210902	USA		Homo sapiens	2697049		Delta
73	OL988075	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
74	OL988066	AY.25.1	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
75	OL988088	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
76	OL988106	AY.118	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
77	OL988104	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
78	OL988117	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
79	OL988118	AY.4	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
80	OL988127	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
81	OL990408	AY.3	20211126	USA	CDC-OAMD	Homo sapiens	2697049		Delta
82	OL988135	AY.119	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
83	OL988152	AY.25.1	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
84	OL988145	AY.25	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
85	OL988170	AY.25	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
86	OL989415	B.1.617.2	20210811	Bangladesh		Homo sapiens	2697049		Delta
87	OL988155	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
88	OL988159	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
89	OL988165	AY.100	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
90	OL988176	AY.25	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
91	OL988157	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
92	OL988161	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
93	OL988171	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
94	OL988185	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
95	OL988186	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
96	OL988181	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
97	OL988179	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
98	OL988172	AY.118	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
99	OL988188	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
100	OL988174	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
